epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1525.68,1.15585,0.92709,0.83623,0.67006,0.51538,0.57294,0.34086,1.16167,0.73128,0.82953,0.000413793,0.000413793,0.000413793
2,2724.75,1.10147,0.62755,0.8232,0.69415,0.62141,0.66318,0.40006,1.11119,0.69423,0.82817,0.000748244,0.000748244,0.000748244
3,4025.31,1.08176,0.59481,0.82298,0.80491,0.65359,0.71043,0.40669,1.15794,0.58349,0.82298,0.0010002,0.0010002,0.0010002
4,5380.53,1.08174,0.57321,0.82085,0.8364,0.64166,0.71226,0.4491,1.03175,0.54635,0.81739,0.00087875,0.00087875,0.00087875
5,6826.96,0.99208,0.51367,0.81095,0.77348,0.69289,0.72982,0.4615,0.98354,0.53255,0.81125,0.000755,0.000755,0.000755
6,8129.14,0.95643,0.47215,0.80467,0.83077,0.71372,0.76389,0.48912,0.92933,0.47464,0.80898,0.00063125,0.00063125,0.00063125
7,9376.59,0.93242,0.45701,0.80399,0.81909,0.71151,0.75602,0.48792,0.93626,0.4725,0.80596,0.0005075,0.0005075,0.0005075
8,10569.8,0.89486,0.4352,0.80008,0.83682,0.72638,0.77923,0.50456,0.90988,0.45407,0.80512,0.00038375,0.00038375,0.00038375
9,12025.1,0.86391,0.41932,0.79963,0.81446,0.70281,0.7608,0.50031,0.9841,0.48995,0.81105,0.00026,0.00026,0.00026
10,13199.2,0.84513,0.40347,0.79727,0.8318,0.73319,0.79389,0.52816,0.89666,0.43337,0.80385,0.00013625,0.00013625,0.00013625
